id,name,state,district,type,totalParcels,acquiredParcels,compensationPaid,legalCases,approvalDays,complexity,latitude,longitude,landowners,compensationBudgetCr,approvalsPending,clearanceStatus,expectedCompletion,agency,pendingParcels,progress,syntheticDelayDays,syntheticDelayedOver90Days,source
SYN-000001,Synthetic acquisition 1,Synthetic region,Synthetic district,Railway,3273,1296,24.84,13,37,4,0.0,0.0,4997,2238.23,2,,,,,,87,0,"Synthetic — simulated, not government data"
SYN-000002,Synthetic acquisition 2,Synthetic region,Synthetic district,Industrial,2430,1075,25.35,16,61,1,0.0,0.0,3989,1645.05,4,,,,,,131,1,"Synthetic — simulated, not government data"
SYN-000003,Synthetic acquisition 3,Synthetic region,Synthetic district,Road infrastructure,4071,3283,54.82,6,79,4,0.0,0.0,9273,3007.02,8,,,,,,75,0,"Synthetic — simulated, not government data"
SYN-000004,Synthetic acquisition 4,Synthetic region,Synthetic district,Highway,2258,913,0.17,12,115,5,0.0,0.0,3266,318.02,3,,,,,,142,1,"Synthetic — simulated, not government data"
SYN-000005,Synthetic acquisition 5,Synthetic region,Synthetic district,Power,2333,1271,58.45,14,169,5,0.0,0.0,,1222.89,3,,,,,,156,1,"Synthetic — simulated, not government data"
SYN-000006,Synthetic acquisition 6,Synthetic region,Synthetic district,Railway,185,157,48.83,7,49,3,0.0,0.0,351,103.21,8,,,,,,95,1,"Synthetic — simulated, not government data"
SYN-000007,Synthetic acquisition 7,Synthetic region,Synthetic district,Road infrastructure,1277,1080,71.75,4,84,3,0.0,0.0,3517,620.94,3,,,,,,67,0,"Synthetic — simulated, not government data"
SYN-000008,Synthetic acquisition 8,Synthetic region,Synthetic district,Road infrastructure,310,238,68.49,4,63,2,0.0,0.0,335,59.11,,,,,,,52,0,"Synthetic — simulated, not government data"
SYN-000009,Synthetic acquisition 9,Synthetic region,Synthetic district,Irrigation,4486,1911,41.75,12,41,5,0.0,0.0,12385,1844.86,1,,,,,,130,1,"Synthetic — simulated, not government data"
SYN-000010,Synthetic acquisition 10,Synthetic region,Synthetic district,Industrial,3614,1089,90.37,12,116,4,0.0,0.0,4030,1205.82,3,,,,,,123,1,"Synthetic — simulated, not government data"
SYN-000011,Synthetic acquisition 11,Synthetic region,Synthetic district,Railway,2250,2205,62.25,4,93,1,0.0,0.0,6065,827.57,7,,,,,,63,0,"Synthetic — simulated, not government data"
SYN-000012,Synthetic acquisition 12,Synthetic region,Synthetic district,Road infrastructure,1332,830,68.14,8,7,2,0.0,0.0,2256,703.51,5,,,,,,43,0,"Synthetic — simulated, not government data"
SYN-000013,Synthetic acquisition 13,Synthetic region,Synthetic district,Industrial,4065,2449,44.67,6,47,4,0.0,0.0,11130,1542.53,0,,,,,,79,0,"Synthetic — simulated, not government data"
SYN-000014,Synthetic acquisition 14,Synthetic region,Synthetic district,Industrial,3143,1700,90.99,8,138,5,0.0,0.0,6968,2213.26,4,,,,,,103,1,"Synthetic — simulated, not government data"
SYN-000015,Synthetic acquisition 15,Synthetic region,Synthetic district,Power,656,75,9.71,10,44,1,0.0,0.0,1640,,6,,,,,,140,1,"Synthetic — simulated, not government data"
SYN-000016,Synthetic acquisition 16,Synthetic region,Synthetic district,Railway,1285,456,57.12,10,106,2,0.0,0.0,3050,241.9,0,,,,,,111,1,"Synthetic — simulated, not government data"
SYN-000017,Synthetic acquisition 17,Synthetic region,Synthetic district,Irrigation,3979,1899,53.03,8,27,2,0.0,0.0,8273,959.93,8,,,,,,81,0,"Synthetic — simulated, not government data"
SYN-000018,Synthetic acquisition 18,Synthetic region,Synthetic district,Industrial,501,378,88.61,4,74,1,0.0,0.0,,96.23,5,,,,,,80,0,"Synthetic — simulated, not government data"
SYN-000019,Synthetic acquisition 19,Synthetic region,Synthetic district,Highway,3381,2505,97.6,7,122,2,0.0,0.0,9030,2685.69,6,,,,,,91,1,"Synthetic — simulated, not government data"
SYN-000020,Synthetic acquisition 20,Synthetic region,Synthetic district,Irrigation,2867,854,36.28,13,63,3,0.0,0.0,5531,1449.84,3,,,,,,131,1,"Synthetic — simulated, not government data"
SYN-000021,Synthetic acquisition 21,Synthetic region,Synthetic district,Power,622,295,55.36,11,176,4,0.0,0.0,,127.13,0,,,,,,126,1,"Synthetic — simulated, not government data"
SYN-000022,Synthetic acquisition 22,Synthetic region,Synthetic district,Highway,4105,2916,82.7,7,138,3,0.0,0.0,5259,,0,,,,,,92,1,"Synthetic — simulated, not government data"
SYN-000023,Synthetic acquisition 23,Synthetic region,Synthetic district,Power,3765,1576,40.16,8,56,1,0.0,0.0,4631,1795.4,7,,,,,,100,1,"Synthetic — simulated, not government data"
SYN-000024,Synthetic acquisition 24,Synthetic region,Synthetic district,Highway,2424,1412,54.09,11,25,1,0.0,0.0,3953,912.22,4,,,,,,78,0,"Synthetic — simulated, not government data"
SYN-000025,Synthetic acquisition 25,Synthetic region,Synthetic district,Highway,1004,283,14.39,12,134,1,0.0,0.0,1068,740.27,7,,,,,,173,1,"Synthetic — simulated, not government data"
SYN-000026,Synthetic acquisition 26,Synthetic region,Synthetic district,Industrial,4622,2478,60.29,9,172,3,0.0,0.0,9689,2936.83,5,,,,,,127,1,"Synthetic — simulated, not government data"
SYN-000027,Synthetic acquisition 27,Synthetic region,Synthetic district,Road infrastructure,298,238,84.22,5,67,2,0.0,0.0,777,207.63,2,,,,,,72,0,"Synthetic — simulated, not government data"
SYN-000028,Synthetic acquisition 28,Synthetic region,Synthetic district,Irrigation,1173,94,31.14,15,144,2,0.0,0.0,,204.12,2,,,,,,155,1,"Synthetic — simulated, not government data"
SYN-000029,Synthetic acquisition 29,Synthetic region,Synthetic district,Highway,2512,1687,36.07,6,165,2,0.0,0.0,5934,1595.25,8,,,,,,122,1,"Synthetic — simulated, not government data"
SYN-000030,Synthetic acquisition 30,Synthetic region,Synthetic district,Irrigation,2887,1681,60.06,5,147,5,0.0,0.0,7584,2584.08,6,,,,,,124,1,"Synthetic — simulated, not government data"
SYN-000031,Synthetic acquisition 31,Synthetic region,Synthetic district,Road infrastructure,3190,2020,56.48,12,130,2,0.0,0.0,,1849.18,5,,,,,,97,1,"Synthetic — simulated, not government data"
SYN-000032,Synthetic acquisition 32,Synthetic region,Synthetic district,Railway,3316,2298,31.56,4,100,4,0.0,0.0,5550,674.72,,,,,,,103,1,"Synthetic — simulated, not government data"
SYN-000033,Synthetic acquisition 33,Synthetic region,Synthetic district,Irrigation,359,138,43.72,7,139,1,0.0,0.0,826,257.61,,,,,,,124,1,"Synthetic — simulated, not government data"
SYN-000034,Synthetic acquisition 34,Synthetic region,Synthetic district,Irrigation,4977,4856,81.75,3,88,1,0.0,0.0,10672,2932.52,3,,,,,,54,0,"Synthetic — simulated, not government data"
SYN-000035,Synthetic acquisition 35,Synthetic region,Synthetic district,Road infrastructure,4400,2892,66.98,6,117,1,0.0,0.0,9710,,6,,,,,,84,0,"Synthetic — simulated, not government data"
SYN-000036,Synthetic acquisition 36,Synthetic region,Synthetic district,Road infrastructure,2292,537,11.13,14,101,3,0.0,0.0,2521,849.83,5,,,,,,158,1,"Synthetic — simulated, not government data"
SYN-000037,Synthetic acquisition 37,Synthetic region,Synthetic district,Industrial,4089,1678,13.4,12,8,5,0.0,0.0,11266,,,,,,,,134,1,"Synthetic — simulated, not government data"
SYN-000038,Synthetic acquisition 38,Synthetic region,Synthetic district,Railway,3968,2337,61.11,6,47,5,0.0,0.0,7771,900.61,8,,,,,,100,1,"Synthetic — simulated, not government data"
SYN-000039,Synthetic acquisition 39,Synthetic region,Synthetic district,Railway,3382,2387,96.8,7,159,5,0.0,0.0,9458,2235.96,5,,,,,,102,1,"Synthetic — simulated, not government data"
SYN-000040,Synthetic acquisition 40,Synthetic region,Synthetic district,Railway,3253,605,12.38,9,111,3,0.0,0.0,4866,2688.65,8,,,,,,155,1,"Synthetic — simulated, not government data"
SYN-000041,Synthetic acquisition 41,Synthetic region,Synthetic district,Road infrastructure,578,90,16.29,17,150,3,0.0,0.0,1131,391.25,6,,,,,,200,1,"Synthetic — simulated, not government data"
SYN-000042,Synthetic acquisition 42,Synthetic region,Synthetic district,Railway,938,677,87.97,6,98,3,0.0,0.0,1300,806.76,2,,,,,,80,0,"Synthetic — simulated, not government data"
SYN-000043,Synthetic acquisition 43,Synthetic region,Synthetic district,Road infrastructure,2360,761,0.0,8,67,1,0.0,0.0,5184,,2,,,,,,106,1,"Synthetic — simulated, not government data"
SYN-000044,Synthetic acquisition 44,Synthetic region,Synthetic district,Road infrastructure,602,225,16.69,8,76,1,0.0,0.0,1376,,7,,,,,,104,1,"Synthetic — simulated, not government data"
SYN-000045,Synthetic acquisition 45,Synthetic region,Synthetic district,Highway,4566,2809,67.93,3,74,3,0.0,0.0,6412,3090.69,3,,,,,,54,0,"Synthetic — simulated, not government data"
SYN-000046,Synthetic acquisition 46,Synthetic region,Synthetic district,Industrial,2309,835,81.34,14,154,4,0.0,0.0,3269,1882.69,6,,,,,,149,1,"Synthetic — simulated, not government data"
SYN-000047,Synthetic acquisition 47,Synthetic region,Synthetic district,Road infrastructure,2699,1164,100.0,12,128,1,0.0,0.0,4951,2169.02,3,,,,,,102,1,"Synthetic — simulated, not government data"
SYN-000048,Synthetic acquisition 48,Synthetic region,Synthetic district,Irrigation,3406,1295,24.25,11,66,3,0.0,0.0,6974,,4,,,,,,131,1,"Synthetic — simulated, not government data"
SYN-000049,Synthetic acquisition 49,Synthetic region,Synthetic district,Irrigation,1151,341,47.51,16,168,1,0.0,0.0,2968,775.48,3,,,,,,169,1,"Synthetic — simulated, not government data"
SYN-000050,Synthetic acquisition 50,Synthetic region,Synthetic district,Industrial,4792,2095,59.15,14,177,3,0.0,0.0,10656,1186.59,,,,,,,135,1,"Synthetic — simulated, not government data"
SYN-000051,Synthetic acquisition 51,Synthetic region,Synthetic district,Industrial,3662,592,62.75,15,11,4,0.0,0.0,7418,761.55,3,,,,,,119,1,"Synthetic — simulated, not government data"
SYN-000052,Synthetic acquisition 52,Synthetic region,Synthetic district,Road infrastructure,4242,3079,63.92,8,44,4,0.0,0.0,7965,1498.75,6,,,,,,86,0,"Synthetic — simulated, not government data"
SYN-000053,Synthetic acquisition 53,Synthetic region,Synthetic district,Industrial,3945,1592,27.49,12,124,1,0.0,0.0,7653,3236.13,1,,,,,,162,1,"Synthetic — simulated, not government data"
SYN-000054,Synthetic acquisition 54,Synthetic region,Synthetic district,Power,3518,1370,88.89,6,134,3,0.0,0.0,8388,,2,,,,,,103,1,"Synthetic — simulated, not government data"
SYN-000055,Synthetic acquisition 55,Synthetic region,Synthetic district,Power,1615,1105,61.5,7,83,3,0.0,0.0,3309,1158.81,4,,,,,,57,0,"Synthetic — simulated, not government data"
SYN-000056,Synthetic acquisition 56,Synthetic region,Synthetic district,Power,696,221,34.12,14,118,3,0.0,0.0,,306.65,6,,,,,,135,1,"Synthetic — simulated, not government data"
SYN-000057,Synthetic acquisition 57,Synthetic region,Synthetic district,Industrial,3674,1158,67.27,12,102,1,0.0,0.0,,2584.39,2,,,,,,114,1,"Synthetic — simulated, not government data"
SYN-000058,Synthetic acquisition 58,Synthetic region,Synthetic district,Highway,2851,696,27.94,12,52,3,0.0,0.0,3728,,0,,,,,,107,1,"Synthetic — simulated, not government data"
SYN-000059,Synthetic acquisition 59,Synthetic region,Synthetic district,Irrigation,1860,1184,80.43,7,77,4,0.0,0.0,4838,1172.68,5,,,,,,83,0,"Synthetic — simulated, not government data"
